"ds","y"
2000-01-1,831
2000-02-1,873
2000-03-1,859
2000-04-1,858
2000-05-1,851
2000-06-1,831
2000-07-1,858
2000-08-1,889
2000-09-1,922
2000-10-1,901
2000-11-1,939
2000-12-1,926
2001-01-1,887
2001-02-1,900
2001-03-1,903
2001-04-1,887
2001-05-1,901
2001-06-1,897
2001-07-1,894
2001-08-1,926
2001-09-1,947
2001-10-1,954
2001-11-1,938
2001-12-1,933
2002-01-1,911
2002-02-1,913
2002-03-1,900
2002-04-1,927
2002-05-1,920
2002-06-1,931
2002-07-1,924
2002-08-1,941
2002-09-1,927
2002-10-1,950
2002-11-1,965
2002-12-1,995
2003-01-1,946
2003-02-1,918
2003-03-1,978
2003-04-1,985
2003-05-1,1001
2003-06-1,1021
2003-07-1,976
2003-08-1,980
2003-09-1,995
2003-10-1,1019
2003-11-1,1051
2003-12-1,1131
2004-01-1,1058
2004-02-1,1044
2004-03-1,1027
2004-04-1,1051
2004-05-1,1099
2004-06-1,1035
2004-07-1,1025
2004-08-1,1086
2004-09-1,1102
2004-10-1,1134
2004-11-1,1155
2004-12-1,1177
2005-01-1,1082
2005-02-1,1082
2005-03-1,1082
2005-04-1,1087
2005-05-1,1055
2005-06-1,1072
2005-07-1,1045
2005-08-1,1061
2005-09-1,1078
2005-10-1,1122
2005-11-1,1149
2005-12-1,1105
2006-01-1,1062
2006-02-1,1077
2006-03-1,1088
2006-04-1,1090
2006-05-1,1118
2006-06-1,1100
2006-07-1,1093
2006-08-1,1119
2006-09-1,1090
2006-10-1,1130
2006-11-1,1147
2006-12-1,1228
2007-01-1,1108
2007-02-1,1141
2007-03-1,1177
2007-04-1,1167
2007-05-1,1109
2007-06-1,1145
2007-07-1,1141
2007-08-1,1141
2007-09-1,1203
2007-10-1,1193
2007-11-1,1158
2007-12-1,1241
2008-01-1,1158
2008-02-1,1146
2008-03-1,1162
2008-04-1,1190
2008-05-1,1159
2008-06-1,1188
2008-07-1,1163
2008-08-1,1147
2008-09-1,1163
2008-10-1,1156
2008-11-1,1204
2008-12-1,1175
2009-01-1,1143
2009-02-1,1163
2009-03-1,1158
2009-04-1,1186
2009-05-1,1194
2009-06-1,1220
2009-07-1,1198
2009-08-1,1208
2009-09-1,1217
2009-10-1,1292
2009-11-1,1303
2009-12-1,1282
2010-01-1,1240
2010-02-1,1180
2010-03-1,1026
2010-04-1,1009
2010-05-1,1211
2010-06-1,1238
2010-07-1,1214
2010-08-1,1221
2010-09-1,1235
2010-10-1,1263
2010-11-1,1286
2010-12-1,1288
2011-01-1,1250
2011-02-1,1231
2011-03-1,1219
2011-04-1,1253
2011-05-1,1253
2011-06-1,1264
2011-07-1,1298
2011-08-1,1290
2011-09-1,1288
2011-10-1,1290
2011-11-1,1326
2011-12-1,1346
2012-01-1,1270
2012-02-1,1191
2012-03-1,1244
2012-04-1,1232
2012-05-1,1301
2012-06-1,1309
2012-07-1,1289
2012-08-1,1306
2012-09-1,1268
2012-10-1,1319
2012-11-1,1321
2012-12-1,1318
2013-01-1,1284
2013-02-1,1244
2013-03-1,1245
2013-04-1,1226
2013-05-1,1366
2013-06-1,1364
2013-07-1,1384
2013-08-1,1326
2013-09-1,1256
2013-10-1,1219
2013-11-1,1397
2013-12-1,1428
2014-01-1,1354
2014-02-1,1351
2014-03-1,1344
2014-04-1,1310
2014-05-1,1339
2014-06-1,1416
2014-07-1,1390
2014-08-1,1386
2014-09-1,1391
2014-10-1,1441
2014-11-1,1469
2014-12-1,1453
2014-01-1,1387
2015-02-1,1380
2015-03-1,1370
2015-04-1,1406
2015-05-1,1438
2015-06-1,1435
2015-07-1,1397
2015-08-1,1446
2015-09-1,1453
2015-10-1,1507
2015-11-1,1517
2015-12-1,1510
2016-01-1,1497
2016-02-1,1472
2016-03-1,1485
2016-04-1,1514
2016-05-1,1590
2016-06-1,1585
2016-07-1,1536
2016-08-1,1582
2016-09-1,1592
2016-10-1,1645
2016-11-1,1642
2016-12-1,1653
2017-01-1,1589
2017-02-1,1613
2017-03-1,1633
2017-04-1,1697
2017-05-1,1692
2017-06-1,1675
2017-07-1,1624
2017-08-1,1705
2017-09-1,1708
2017-10-1,1699
2017-11-1,1726
2017-12-1,1760
2018-01-1,1665
2018-02-1,1704
2018-03-1,1729
2018-04-1,1781
2018-05-1,1847
2018-06-1,1741
2018-07-1,1762
2018-08-1,1821
2018-09-1,1794
2018-10-1,1835
2018-11-1,1833
2018-12-1,1853